startTime,settlementDate,settlementPeriod,GAS,OTHER
2023-03-26 18:30:00,2023-03-26,38,3199.049,274.239
2023-03-26 19:00:00,2023-03-26,39,2651.63,424.679
2023-03-26 19:30:00,2023-03-26,40,2280.718,644.204
2023-03-26 20:00:00,2023-03-26,41,2612.15,598.592
2023-03-26 20:30:00,2023-03-26,42,3908.182,514.875
2023-03-26 21:00:00,2023-03-26,43,3594.66,586.825
2023-03-26 21:30:00,2023-03-26,44,2609.119,868.825
2023-03-26 22:00:00,2023-03-26,45,2114.149,867.056
2023-03-26 22:30:00,2023-03-26,46,1842.305,672.256
2023-03-26 23:00:00,2023-03-27,1,3047.367,971.334
2023-03-26 23:30:00,2023-03-27,2,3548.815,1387.603
2023-03-27 00:00:00,2023-03-27,3,3945.51,1521.85
2023-03-27 00:30:00,2023-03-27,4,2952.343,1592.389
2023-03-27 01:00:00,2023-03-27,5,2851.695,1280.487
2023-03-27 01:30:00,2023-03-27,6,2726.544,1058.929
2023-03-27 02:00:00,2023-03-27,7,2653.398,1219.677
2023-03-27 02:30:00,2023-03-27,8,2278.805,1404.02
2023-03-27 03:00:00,2023-03-27,9,3100.246,1337.55
2023-03-27 03:30:00,2023-03-27,10,2919.871,1400.59
2023-03-27 04:00:00,2023-03-27,11,2537.095,947.881
2023-03-27 04:30:00,2023-03-27,12,3826.813,592.768
2023-03-27 05:00:00,2023-03-27,13,1751.462,139.044
2023-03-27 05:30:00,2023-03-27,14,3171.227,130.375
2023-03-27 06:00:00,2023-03-27,15,6138.564,446.717
2023-03-27 06:30:00,2023-03-27,16,6123.711,211.85
2023-03-27 07:00:00,2023-03-27,17,5400.331,328.72
2023-03-27 07:30:00,2023-03-27,18,4358.634,595.722
2023-03-27 08:00:00,2023-03-27,19,4525.353,556.075
2023-03-27 08:30:00,2023-03-27,20,5635.403,510.18
2023-03-27 09:00:00,2023-03-27,21,4308.469,436.237
2023-03-27 09:30:00,2023-03-27,22,4558.011,-177.475
2023-03-27 10:00:00,2023-03-27,23,4656.798,-130.092
2023-03-27 10:30:00,2023-03-27,24,3356.318,201.992
2023-03-27 11:00:00,2023-03-27,25,3517.681,56.058
2023-03-27 11:30:00,2023-03-27,26,2947.777,12.758
2023-03-27 12:00:00,2023-03-27,27,3253.85,24.925
